id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
8,468,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,GABAH KERING PANEN,4890,RP/KG,2020
8,478,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,JAGUNG PIPIL KERING,4389,RP/KG,2020
8,488,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,KEDELAI,0,RP/KG,2020
9,499,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,BERAS MEDIUM,8696,RP/KG,2020
9,509,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,BERAS PREMIUM,10331,RP/KG,2020
9,519,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,GABAH KERING GILING,5500,RP/KG,2020
9,529,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,GABAH KERING PANEN,4580,RP/KG,2020
9,539,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,JAGUNG PIPIL KERING,4235,RP/KG,2020
9,549,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,KEDELAI,6351,RP/KG,2020
10,5510,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,BERAS MEDIUM,8781,RP/KG,2020
10,5610,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,BERAS PREMIUM,9643,RP/KG,2020
10,5710,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,GABAH KERING GILING,5640,RP/KG,2020
10,5810,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,GABAH KERING PANEN,5040,RP/KG,2020
10,5910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,JAGUNG PIPIL KERING,4038,RP/KG,2020
10,6010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,KEDELAI,6283,RP/KG,2020
11,6111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,BERAS MEDIUM,9114,RP/KG,2020
11,6211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,BERAS PREMIUM,10073,RP/KG,2020
11,6311,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,GABAH KERING GILING,5068,RP/KG,2020
11,6411,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,GABAH KERING PANEN,4842,RP/KG,2020
11,6511,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,JAGUNG PIPIL KERING,4439,RP/KG,2020
11,6611,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,KEDELAI,0,RP/KG,2020
12,6712,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,BERAS MEDIUM,9415,RP/KG,2020
12,6812,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,BERAS PREMIUM,10786,RP/KG,2020
12,6912,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,GABAH KERING GILING,5910,RP/KG,2020
12,7012,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,GABAH KERING PANEN,4810,RP/KG,2020
12,7112,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,JAGUNG PIPIL KERING,4338,RP/KG,2020
12,7212,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,KEDELAI,0,RP/KG,2020
13,7313,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BERAS MEDIUM,8885,RP/KG,2020
13,7413,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BERAS PREMIUM,9740,RP/KG,2020
13,7513,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,GABAH KERING GILING,5598,RP/KG,2020
13,7613,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,GABAH KERING PANEN,5812,RP/KG,2020
13,7713,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,JAGUNG PIPIL KERING,4287,RP/KG,2020
13,7813,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,KEDELAI,5710,RP/KG,2020
14,7914,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BERAS MEDIUM,9465,RP/KG,2020
14,8014,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BERAS PREMIUM,9800,RP/KG,2020
14,8114,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,GABAH KERING GILING,5795,RP/KG,2020
14,8214,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,GABAH KERING PANEN,4760,RP/KG,2020
14,8314,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,JAGUNG PIPIL KERING,4492,RP/KG,2020
14,8414,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,KEDELAI,0,RP/KG,2020
15,8515,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,BERAS MEDIUM,4400,RP/KG,2020
15,8615,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,BERAS PREMIUM,0,RP/KG,2020
15,8715,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,GABAH KERING GILING,2575,RP/KG,2020
15,8815,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,GABAH KERING PANEN,4650,RP/KG,2020
